external_gene_name,chromosome_name,transcript_biotype,is_coding
mt-Tf,MT,Mt_tRNA,False
mt-Rnr1,MT,Mt_rRNA,False
mt-Tv,MT,Mt_tRNA,False
mt-Rnr2,MT,Mt_rRNA,False
mt-Tl1,MT,Mt_tRNA,False
mt-Nd1,MT,protein_coding,True
mt-Ti,MT,Mt_tRNA,False
mt-Tq,MT,Mt_tRNA,False
mt-Tm,MT,Mt_tRNA,False
mt-Nd2,MT,protein_coding,True
mt-Tw,MT,Mt_tRNA,False
mt-Ta,MT,Mt_tRNA,False
mt-Tn,MT,Mt_tRNA,False
mt-Tc,MT,Mt_tRNA,False
mt-Ty,MT,Mt_tRNA,False
mt-Co1,MT,protein_coding,True
mt-Ts1,MT,Mt_tRNA,False
mt-Td,MT,Mt_tRNA,False
mt-Co2,MT,protein_coding,True
mt-Tk,MT,Mt_tRNA,False
mt-Atp8,MT,protein_coding,True
mt-Atp6,MT,protein_coding,True
mt-Co3,MT,protein_coding,True
mt-Tg,MT,Mt_tRNA,False
mt-Nd3,MT,protein_coding,True
mt-Tr,MT,Mt_tRNA,False
mt-Nd4l,MT,protein_coding,True
mt-Nd4,MT,protein_coding,True
mt-Th,MT,Mt_tRNA,False
mt-Ts2,MT,Mt_tRNA,False
mt-Tl2,MT,Mt_tRNA,False
mt-Nd5,MT,protein_coding,True
mt-Nd6,MT,protein_coding,True
mt-Te,MT,Mt_tRNA,False
mt-Cytb,MT,protein_coding,True
mt-Tt,MT,Mt_tRNA,False
mt-Tp,MT,Mt_tRNA,False
,GL456239.1,miRNA,False
,GL456372.1,miRNA,False
,GL456381.1,miRNA,False
,GL456385.1,miRNA,False
,JH584295.1,protein_coding,True
,GL456212.1,protein_coding,True
,JH584296.1,protein_coding,True
,JH584298.1,protein_coding,True
,GL456211.1,protein_coding,True
,GL456211.1,processed_pseudogene,False
,GL456354.1,protein_coding,True
Vmn1r186,GL456219.1,protein_coding,True
,GL456219.1,protein_coding,True
,JH584299.1,protein_coding,True
,JH584303.1,protein_coding,True
Gm16367,JH584299.1,protein_coding,True
,JH584297.1,protein_coding,True
,JH584304.1,protein_coding,True
,GL456210.1,protein_coding,True
,GL456221.1,protein_coding,True
Csprs,GL456221.1,protein_coding,True
Gm28489,Y,unprocessed_pseudogene,False
Gm21867,Y,unprocessed_pseudogene,False
Gm29448,Y,unprocessed_pseudogene,False
Gm21127,Y,unprocessed_pseudogene,False
Gm20816,Y,protein_coding,True
Gm29447,Y,lncRNA,False
Gm29446,Y,lncRNA,False
Gm29452,Y,processed_pseudogene,False
Gm29451,Y,unprocessed_pseudogene,False
Gm20817,Y,protein_coding,True
Gm28633,Y,lncRNA,False
Gm21562,Y,lncRNA,False
Gm29410,Y,unprocessed_pseudogene,False
Gm28298,Y,lncRNA,False
Gm21572,Y,lncRNA,False
